Rank,country,index
3,Afghanistan,92.65
23,Albania,75.21
43,Algeria,64.16
60,Argentina,53.64
44,Armenia,63.55
89,Australia,24.76
92,Austria,22.87
21,Bahrain,76.41
4,Bangladesh,88.93
77,Belarus,36
68,Belgium,48.92
50,Bosnia And Herzegovina,61.56
54,Brazil,59.48
47,Bulgaria,63.03
16,Cambodia,79.41
85,Canada,27.7
38,Chile,66.79
7,China,85.89
48,Colombia,62.47
66,Costa Rica,49.87
80,Croatia,32.73
59,Cyprus,55.76
72,Czech Republic,41.02
90,Denmark,23.6
20,Dominican Republic ,76.8
55,Ecuador,59.19
6,Egypt,87.64
96,Estonia,17.17
18,Ethiopia,77.96
98,Finland,12.07
74,France,40.41
26,Georgia,73.43
86,Germany,27.32
64,Greece,52.85
35,Hong Kong,69.35
69,Hungary,46.57
97,Iceland,13.73
22,India,75.89
51,Indonesia,60.66
15,Iran,81.21
17,Iraq,79.35
84,Ireland,28.66
53,Israel,60.27
61,Italy,53.11
31,Jamaica,71.89
71,Japan,41.66
13,Jordan,82.26
24,Kazakhstan,73.71
29,Kenya,72.26
81,Latvia,31.81
8,Lebanon,85.68
79,Lithuania,33.14
14,Macedonia,82.04
39,Malaysia,66.52
30,Malta,71.93
56,Mauritius,57.56
41,Mexico,66.13
11,Monaco,83.71
2,Mongolia,92.65
36,Morocco,67.66
1,Myanmar,93.03
10,Nepal,84.01
87,Netherlands,27.16
93,New Zealand,21.77
9,Nigeria,85.54
94,Norway,20.22
70,Oman,42.78
19,Pakistan,77.5
42,Panama,65.91
12,Peru,83.35
28,Philippines,72.55
65,Poland,51.12
83,Portugal,30.53
33,Qatar,70.24
62,Romania,53.04
45,Russia,63.26
32,Saudi Arabia,71.72
57,Serbia,56.58
78,Singapore,33.94
73,Slovakia,40.67
88,Slovenia,26.25
49,South Africa,62.15
63,South Korea,52.87
75,Spain,38.11
52,Sri Lanka,60.64
95,Sweden,19.1
91,Switzerland,23.01
46,Taiwan,63.25
27,Thailand,72.86
40,Tunisia,66.16
34,Turkey,69.44
37,Ukraine,67.24
58,United Arab Emirates,55.78
76,United Kingdom,37.71
82,United States,31.7
67,Uruguay,49.37
25,Venezuela,73.66
5,Vietnam,88.1
